iter	Passed	Remaining
0	59	59430
1	59	29859
2	60	20012
3	60	15077
4	60	12119
5	61	10143
6	61	8735
7	61	7675
8	62	6848
9	62	6197
10	62	5659
11	63	5209
12	63	4827
13	63	4502
14	64	4217
15	64	3967
16	64	3750
17	65	3553
18	65	3379
19	65	3219
20	66	3077
21	66	2952
22	66	2834
23	67	2725
24	67	2627
25	67	2536
26	67	2449
27	68	2369
28	68	2294
29	68	2227
30	69	2167
31	69	2108
32	70	2051
33	70	1997
34	70	1948
35	70	1901
36	71	1856
37	71	1812
38	71	1772
39	72	1735
40	72	1698
41	72	1663
42	73	1630
43	73	1597
44	73	1567
45	74	1540
46	74	1514
47	75	1487
48	75	1462
49	75	1438
50	76	1415
51	76	1392
52	76	1370
53	76	1348
54	77	1328
55	77	1308
56	77	1288
57	78	1270
58	78	1252
59	78	1234
60	79	1217
61	79	1203
62	79	1187
63	80	1173
64	80	1162
65	81	1147
66	81	1132
67	81	1118
68	81	1104
69	82	1091
70	82	1078
71	82	1065
72	82	1053
73	83	1041
74	83	1029
75	83	1017
76	83	1006
77	84	997
78	84	987
79	84	977
80	85	967
81	85	957
82	85	946
83	85	936
84	86	927
85	86	918
86	86	909
87	86	901
88	87	893
89	87	885
90	87	877
91	88	869
92	88	862
93	88	855
94	89	848
95	89	841
96	89	835
97	90	828
98	90	822
99	90	815
100	90	809
101	91	803
102	91	796
103	91	791
104	92	785
105	92	779
106	92	773
107	92	767
108	93	761
109	93	756
110	93	751
111	94	746
112	94	741
113	94	736
114	94	730
115	95	725
116	95	721
117	96	722
118	96	716
119	97	712
120	97	707
121	97	702
122	97	697
123	98	693
124	98	688
125	98	683
126	98	679
127	99	674
128	99	670
129	99	666
130	99	662
131	100	658
132	100	653
133	100	649
134	100	646
135	101	642
136	101	638
137	101	635
138	102	632
139	102	629
140	102	626
141	103	622
142	103	619
143	103	616
144	104	613
145	104	610
146	104	607
147	104	604
148	105	600
149	105	598
150	105	594
151	106	591
152	106	588
153	106	586
154	106	583
155	107	580
156	107	577
157	107	575
158	108	572
159	108	569
160	108	566
161	108	563
162	109	560
163	109	558
164	109	555
165	110	553
166	110	550
167	110	548
168	111	545
169	111	543
170	111	541
171	111	538
172	112	536
173	112	534
174	112	531
175	113	529
176	113	527
177	113	524
178	114	523
179	114	521
180	114	518
181	115	516
182	115	514
183	115	512
184	115	510
185	116	508
186	116	505
187	116	503
188	116	501
189	117	499
190	117	497
191	117	495
192	118	493
193	118	492
194	118	490
195	119	488
196	119	486
197	119	484
198	119	482
199	120	480
200	120	479
201	121	478
202	121	476
203	121	474
204	121	472
205	122	471
206	122	469
207	122	467
208	123	466
209	123	464
210	123	463
211	124	461
212	124	460
213	124	458
214	125	457
215	125	455
216	125	454
217	126	452
218	126	450
219	126	449
220	126	447
221	127	446
222	127	444
223	127	443
224	128	441
225	128	440
226	128	438
227	129	437
228	129	437
229	130	436
230	130	434
231	130	433
232	131	432
233	131	430
234	131	428
235	132	427
236	132	426
237	132	425
238	133	424
239	133	422
240	133	421
241	134	420
242	134	418
243	134	417
244	134	415
245	135	414
246	135	413
247	135	412
248	136	410
249	136	409
250	136	408
251	137	406
252	137	405
253	137	404
254	138	403
255	138	402
256	138	401
257	139	399
258	139	398
259	139	397
260	139	396
261	140	395
262	140	393
263	140	392
264	141	391
265	141	390
266	141	389
267	142	388
268	142	386
269	142	385
270	142	384
271	143	383
272	143	382
273	143	380
274	144	379
275	144	378
276	144	377
277	144	376
278	145	375
279	145	374
280	145	373
281	146	372
282	146	371
283	146	370
284	147	368
285	147	367
286	147	366
287	147	365
288	148	364
289	148	364
290	148	362
291	149	361
292	149	361
293	150	360
294	150	359
295	150	358
296	150	357
297	151	356
298	151	355
299	151	354
300	152	353
301	152	352
302	152	351
303	153	350
304	153	349
305	153	348
306	154	347
307	154	347
308	154	345
309	155	345
310	155	344
311	155	343
312	155	342
313	156	341
314	156	340
315	157	340
316	157	339
317	157	338
318	157	337
319	158	336
320	158	335
321	158	334
322	159	333
323	159	332
324	159	331
325	160	330
326	160	329
327	160	328
328	160	327
329	161	327
330	161	326
331	161	325
332	162	324
333	162	323
334	162	322
335	162	322
336	163	321
337	164	321
338	164	320
339	164	319
340	164	318
341	165	317
342	165	317
343	165	316
344	166	315
345	166	314
346	166	313
347	166	312
348	167	312
349	167	311
350	167	310
351	168	309
352	168	308
353	168	308
354	169	307
355	169	306
356	169	305
357	170	304
358	170	304
359	170	303
360	171	302
361	171	302
362	171	301
363	171	300
364	172	299
365	172	298
366	172	298
367	173	297
368	173	296
369	173	295
370	174	295
371	174	294
372	174	293
373	175	293
374	175	292
375	176	292
376	176	292
377	177	291
